
===========================================================
 Experiment : survey-local-8-N2
 Config     : configs/survey-local-8-N2.yaml
 Method     : actor_critic
 Env        : 8x8, N=2, steps=80
 Train      : 2000 eps x 5 seed(s), lr=0.0001, gamma=0.99
 Warm-start : experiments/survey-local-8-N1/checkpoint.npz
===========================================================

Warm-starting from: experiments/survey-local-8-N1/checkpoint.npz
Grid-aware warm-start: tiling Dense_0 (1-block source -> 2-block target via tile x2, no grid upsample) — per-block obs_dim unchanged at 23.
Warm-started critic: input 23 -> 46, hidden 128, source_N=1 target_N=2.
survey-local-8-N2 (5 seeds): 0 / 2000 eps ...
[  0.1%] ep      1/2000 | loss +0.5037 | reward +5.174 |    1.4s elapsed / 2749.
[  0.6%] ep     11/2000 | loss -0.1097 | reward +4.709 |    1.4s elapsed /  258.
[  1.1%] ep     21/2000 | loss +0.3060 | reward +5.328 |    1.5s elapsed /  139.
[  1.6%] ep     31/2000 | loss -0.0269 | reward +4.864 |    1.5s elapsed /   97.
[  2.0%] ep     41/2000 | loss +0.5392 | reward +5.174 |    1.6s elapsed /   75.
[  2.5%] ep     51/2000 | loss +0.0723 | reward +5.019 |    1.6s elapsed /   62.
[  3.0%] ep     61/2000 | loss +0.2144 | reward +4.864 |    1.7s elapsed /   53.
[  3.5%] ep     71/2000 | loss +0.2049 | reward +5.019 |    1.7s elapsed /   47.
[  4.0%] ep     81/2000 | loss -1.3163 | reward +3.315 |    1.8s elapsed /   42.
[  4.5%] ep     91/2000 | loss +0.1395 | reward +5.019 |    1.9s elapsed /   38.
[  5.0%] ep    101/2000 | loss +0.2813 | reward +5.328 |    1.9s elapsed /   35.
[  5.5%] ep    111/2000 | loss +0.0687 | reward +5.174 |    2.0s elapsed /   33.
[  6.0%] ep    121/2000 | loss +0.2629 | reward +5.328 |    2.0s elapsed /   31.
[  6.5%] ep    131/2000 | loss +0.1706 | reward +5.174 |    2.1s elapsed /   29.
[  7.0%] ep    141/2000 | loss -0.2127 | reward +4.864 |    2.1s elapsed /   28.
[  7.5%] ep    151/2000 | loss +0.0172 | reward +5.174 |    2.2s elapsed /   26.
[  8.1%] ep    161/2000 | loss -0.2467 | reward +4.709 |    2.2s elapsed /   25.
[  8.6%] ep    171/2000 | loss +0.4195 | reward +5.328 |    2.3s elapsed /   24.
[  9.1%] ep    181/2000 | loss +0.4071 | reward +5.328 |    2.3s elapsed /   23.
[  9.6%] ep    191/2000 | loss -0.2895 | reward +4.864 |    2.4s elapsed /   22.
[ 10.1%] ep    201/2000 | loss +0.0386 | reward +5.174 |    2.4s elapsed /   21.
[ 10.6%] ep    211/2000 | loss +0.0657 | reward +5.019 |    2.5s elapsed /   21.
[ 11.1%] ep    221/2000 | loss +0.0377 | reward +5.174 |    2.5s elapsed /   20.
[ 11.6%] ep    231/2000 | loss -4.8116 | reward -0.258 |    2.6s elapsed /   19.
[ 12.1%] ep    241/2000 | loss -0.0147 | reward +5.174 |    2.7s elapsed /   19.
[ 12.6%] ep    251/2000 | loss -4.9677 | reward -0.258 |    2.7s elapsed /   18.
[ 13.1%] ep    261/2000 | loss +0.1901 | reward +5.328 |    2.8s elapsed /   18.
[ 13.6%] ep    271/2000 | loss -0.0651 | reward +5.174 |    2.8s elapsed /   18.
[ 14.1%] ep    281/2000 | loss +0.0852 | reward +5.174 |    2.9s elapsed /   17.
[ 14.6%] ep    291/2000 | loss -5.6771 | reward -0.258 |    2.9s elapsed /   17.
[ 15.1%] ep    301/2000 | loss +0.4692 | reward +5.174 |    3.0s elapsed /   16.
[ 15.6%] ep    311/2000 | loss +0.5184 | reward +5.328 |    3.0s elapsed /   16.
[ 16.1%] ep    321/2000 | loss +0.0877 | reward +5.328 |    3.1s elapsed /   16.
[ 16.6%] ep    331/2000 | loss -0.0142 | reward +5.174 |    3.1s elapsed /   15.
[ 17.1%] ep    341/2000 | loss -0.2370 | reward +4.395 |    3.2s elapsed /   15.
[ 17.6%] ep    351/2000 | loss +1.0592 | reward +5.328 |    3.2s elapsed /   15.
[ 18.1%] ep    361/2000 | loss +0.1418 | reward +5.174 |    3.3s elapsed /   15.
[ 18.6%] ep    371/2000 | loss -6.0986 | reward -0.258 |    3.4s elapsed /   14.
[ 19.1%] ep    381/2000 | loss -0.0555 | reward +5.328 |    3.4s elapsed /   14.
[ 19.6%] ep    391/2000 | loss -0.2032 | reward +4.864 |    3.5s elapsed /   14.
[ 20.1%] ep    401/2000 | loss -0.0561 | reward +5.019 |    3.5s elapsed /   14.
[ 20.6%] ep    411/2000 | loss +0.1113 | reward +5.019 |    3.6s elapsed /   13.
[ 21.1%] ep    421/2000 | loss +0.0305 | reward +5.328 |    3.6s elapsed /   13.
[ 21.6%] ep    431/2000 | loss -0.0978 | reward +5.174 |    3.7s elapsed /   13.
[ 22.1%] ep    441/2000 | loss -0.1046 | reward +5.015 |    3.7s elapsed /   13.
[ 22.6%] ep    451/2000 | loss +0.2740 | reward +5.174 |    3.8s elapsed /   13.
[ 23.1%] ep    461/2000 | loss +0.1385 | reward +5.328 |    3.8s elapsed /   12.
[ 23.6%] ep    471/2000 | loss -0.0808 | reward +5.019 |    3.9s elapsed /   12.
[ 24.1%] ep    481/2000 | loss -0.1118 | reward +5.015 |    3.9s elapsed /   12.
[ 24.6%] ep    491/2000 | loss -0.4208 | reward +4.864 |    4.0s elapsed /   12.
[ 25.1%] ep    501/2000 | loss +0.2895 | reward +5.174 |    4.0s elapsed /   12.
[ 25.6%] ep    511/2000 | loss +0.2749 | reward +5.174 |    4.1s elapsed /   12.
[ 26.1%] ep    521/2000 | loss -1.2351 | reward +3.780 |    4.2s elapsed /   11.
[ 26.6%] ep    531/2000 | loss -0.0514 | reward +5.174 |    4.2s elapsed /   11.
[ 27.1%] ep    541/2000 | loss -7.2954 | reward -0.258 |    4.3s elapsed /   11.
[ 27.6%] ep    551/2000 | loss +0.0824 | reward +5.019 |    4.3s elapsed /   11.
[ 28.1%] ep    561/2000 | loss +0.3687 | reward +5.174 |    4.4s elapsed /   11.
[ 28.6%] ep    571/2000 | loss +0.0434 | reward +5.174 |    4.4s elapsed /   11.
[ 29.1%] ep    581/2000 | loss -0.0738 | reward +5.019 |    4.5s elapsed /   10.
[ 29.6%] ep    591/2000 | loss +0.0728 | reward +5.328 |    4.5s elapsed /   10.
[ 30.1%] ep    601/2000 | loss +0.6213 | reward +5.174 |    4.6s elapsed /   10.
[ 30.6%] ep    611/2000 | loss -0.2560 | reward +4.554 |    4.6s elapsed /   10.
[ 31.1%] ep    621/2000 | loss +0.0485 | reward +5.328 |    4.7s elapsed /   10.
[ 31.6%] ep    631/2000 | loss +0.5050 | reward +5.328 |    4.7s elapsed /   10.
[ 32.0%] ep    641/2000 | loss +0.0179 | reward +5.328 |    4.8s elapsed /   10.
[ 32.5%] ep    651/2000 | loss +0.2111 | reward +5.174 |    4.9s elapsed /   10.
[ 33.0%] ep    661/2000 | loss +0.3885 | reward +5.328 |    4.9s elapsed /    9.
[ 33.5%] ep    671/2000 | loss +0.0538 | reward +5.328 |    5.0s elapsed /    9.
[ 34.0%] ep    681/2000 | loss +0.3437 | reward +5.328 |    5.0s elapsed /    9.
[ 34.5%] ep    691/2000 | loss +0.0557 | reward +5.328 |    5.1s elapsed /    9.
[ 35.0%] ep    701/2000 | loss -0.4033 | reward +4.864 |    5.1s elapsed /    9.
[ 35.5%] ep    711/2000 | loss -8.2062 | reward -0.258 |    5.2s elapsed /    9.
[ 36.0%] ep    721/2000 | loss +1.1582 | reward +5.328 |    5.2s elapsed /    9.
[ 36.5%] ep    731/2000 | loss -8.3507 | reward -0.258 |    5.3s elapsed /    9.
[ 37.0%] ep    741/2000 | loss +0.0172 | reward +5.174 |    5.3s elapsed /    9.
[ 37.5%] ep    751/2000 | loss -0.2142 | reward +5.174 |    5.4s elapsed /    9.
[ 38.0%] ep    761/2000 | loss -0.3010 | reward +4.554 |    5.4s elapsed /    8.
[ 38.5%] ep    771/2000 | loss +0.5062 | reward +5.019 |    5.5s elapsed /    8.
[ 39.0%] ep    781/2000 | loss +0.0946 | reward +5.174 |    5.5s elapsed /    8.
[ 39.5%] ep    791/2000 | loss +0.1663 | reward +5.174 |    5.6s elapsed /    8.
[ 40.0%] ep    801/2000 | loss +0.3296 | reward +4.709 |    5.7s elapsed /    8.
[ 40.5%] ep    811/2000 | loss +0.3896 | reward +5.174 |    5.7s elapsed /    8.
[ 41.0%] ep    821/2000 | loss +0.0433 | reward +5.174 |    5.8s elapsed /    8.
[ 41.5%] ep    831/2000 | loss +0.1101 | reward +5.019 |    5.8s elapsed /    8.
[ 42.0%] ep    841/2000 | loss +0.0354 | reward +5.328 |    5.9s elapsed /    8.
[ 42.5%] ep    851/2000 | loss -0.0247 | reward +5.174 |    5.9s elapsed /    8.
[ 43.0%] ep    861/2000 | loss -0.5357 | reward +4.709 |    6.0s elapsed /    7.
[ 43.5%] ep    871/2000 | loss -0.0832 | reward +4.709 |    6.0s elapsed /    7.
[ 44.0%] ep    881/2000 | loss +0.1046 | reward +5.328 |    6.1s elapsed /    7.
[ 44.5%] ep    891/2000 | loss -0.1398 | reward +5.174 |    6.1s elapsed /    7.
